version,count
5.7.44-48,47487
5.7.23-23,31724
5.5.5-10.11.17-MariaDB-cll-lve,14613
8.0.46-0ubuntu0.22.04.3,11694
5.7.44-log,11423
5.5.5-10.6.27-MariaDB,10715
8.0.46-0ubuntu0.24.04.3,10579
8.0.44,8122
5.5.5-10.11.16-MariaDB-cll-lve,7589
5.7.44,7406
8.0.46-0ubuntu0.24.04.2,7164
8.0.46-0ubuntu0.22.04.2,7138
8.0.44-azure,6987
8.0.46,6922
8.0.42-0ubuntu0.20.04.1,6890
9.6.0,6671
8.0.36,5699
5.5.68-MariaDB,4564
8.0.36-2ubuntu3,4396
5.7.44-azure-log,4362
8.0.24,4017
5.5.5-10.11.14-MariaDB-0+deb12u2,3844
5.5.5-10.6.27-MariaDB-cll-lve,3824
9.5.0,3487
8.0.45,3244
8.0.31-google,2932
5.7.33-0ubuntu0.16.04.1,2780
8.0.42,2628
8.4.8,2458
5.7.40-log,2429
5.7.42-0ubuntu0.18.04.1,2282
8.0.37,2251
5.5.5-10.3.39-MariaDB,2245
8.0.28,2221
5.7.43-log,2170
5.7.40-0ubuntu0.18.04.1,2163
5.5.5-10.11.14-MariaDB-0ubuntu0.24.04.1,2146
5.6.51,2145
5.7.44-google-log,2096
5.5.5-10.6.22-MariaDB-0ubuntu0.22.04.1,2086
5.7.44-percona-sure1b-log,2077
8.0.46-37,1976
5.6.50-log,1955
5.5.5-10.3.39-MariaDB-0ubuntu0.20.04.2,1915
8.0.43,1835
8.0.45-cll-lve,1813
11.8.6-MariaDB-0+deb13u1 from Debian,1800
8.4.8-google,1774
8.4.9,1754
5.5.5-10.11.18-MariaDB,1687
5.5.5-10.6.23-MariaDB-0ubuntu0.22.04.1,1631
8.4.7,1608
5.5.5-10.5.29-MariaDB,1588
8.0.35,1518
8.0.44-google,1494
8.0.41-google,1374
5.1.73,1350
5.5.5-10.11.13-MariaDB-0ubuntu0.24.04.1,1344
8.0.46-cll-lve,1279
8.0.26-google,1273
8.0.32,1207
5.7.16,1149
8.0.41-0ubuntu0.24.04.1,1132
5.6.51-log,1119
5.5.5-10.5.29-MariaDB-0+deb11u1,1102
5.5.62-log,1097
5.5.5-10.6.20-MariaDB-cll-lve,1043
8.0.41,1029
8.4.9-cll-lve,998
8.0.45-0ubuntu0.24.04.1,986
8.4.7-azure,974
8.0.42-0ubuntu0.24.10.1,928
8.0.26,911
8.0.40,891
8.0.37-google,880
5.5.5-10.3.39-MariaDB-0+deb10u2,836
5.7.31,814
8.0.33,787
5.1.54-0.dotdeb.0,773
8.0.45-0ubuntu0.22.04.1,759
8.0.37-0ubuntu0.22.04.3,757
5.5.62,753
5.7.42,719
5.5.5-10.6.25-MariaDB-cll-lve,701
5.7.41,677
8.0.39,646
8.0.18-google,627
5.6.42-log,624
5.5.30,618
5.7.44-cll-lve,612
5.7.44-rds.20250508-log,609
8.0.30,596
8.4.6,595
5.5.64-MariaDB,577
5.5.5-10.1.48-MariaDB-0ubuntu0.18.04.1,568
8.0.42-0ubuntu0.24.04.1,565
8.0.34,562
8.4.5,560
5.5.5-10.6.19-MariaDB,554
5.7.44-google,545
