field,count
redis_version,7323
os,7321
arch_bits,7307
tcp_port,7303
uptime_in_seconds,7302
uptime_in_days,7299
multiplexing_api,7298
process_id,7294
hz,7293
config_file,7292
redis_git_sha1,7283
run_id,7283
redis_git_dirty,7277
redis_build_id,7277
lru_clock,7277
redis_mode,7239
executable,7237
gcc_version,7212
configured_hz,7182
atomicvar_api,7116
connected_clients,3706
used_memory_human,3699
used_memory,3698
blocked_clients,3696
used_memory_rss,3696
used_memory_rss_human,3695
client_recent_max_input_buffer,3693
client_recent_max_output_buffer,3693
used_memory_peak,3689
used_memory_peak_human,3689
used_memory_peak_perc,3688
used_memory_overhead,3670
used_memory_startup,3670
used_memory_dataset,3670
used_memory_dataset_perc,3670
allocator_allocated,3670
allocator_active,3669
total_system_memory,3553
allocator_resident,3552
io_threads_active,3537
server_time_usec,3259
process_supervised,3237
monotonic_clock,3209
listener0,2665
tracking_clients,141
clients_in_timeout_table,141
server_name,90
valkey_version,90
availability_zone,81
server_mode,76
valkey_release_stage,69
clients_hz,69
cluster_connections,23
maxclients,23
dragonfly_version,20
thread_count,20
role,5
total_blocking_keys,5
total_blocking_keys_on_nokey,5
total_connections_received,4
connected_slaves,4
listener1,3
total_commands_processed,3
db0,3
features,2
memurai_version,2
vp,2
service_name,2
maxmemory,2
loading,2
rdb_changes_since_last_save,2
rdb_last_save_time,2
master_replid,1
master_replid2,1
master_repl_offset,1
second_repl_offset,1
repl_backlog_active,1
repl_backlog_size,1
repl_backlog_first_byte_offset,1
repl_backlog_histlen,1
client_longest_output_list,1
client_biggest_input_buf,1
total_system_memory_human,1
used_memory_lua,1
used_memory_lua_human,1
maxmemory_human,1
maxmemory_policy,1
mem_fragmentation_ratio,1
mem_allocator,1
lazyfree_pending_objects,1
rdb_bgsave_in_progress,1
instantaneous_ops_per_sec,1
memurai_edition,1
